Date,Truck_ID,Operator_ID,Route,Distance_km,Fuel_Litres,Idle_Minutes,Load_Tonnes,Trip_Hours,Avg_Speed_kmh,Fuel_Efficiency_km_per_L,Expected_Anomaly
2025-10-28,TR016,OP001,West Pit,20.34,16.04,85.7,111.6,0.75,27.0,1.268,0
2025-10-17,TR001,OP038,East Pit,74.81,76.36,50.7,234.2,4.15,18.0,0.98,1
2025-03-20,TR002,OP013,Crusher,85.12,32.08,32.5,50.0,2.26,37.7,2.653,0
2025-05-30,TR024,OP026,South Pit,80.95,45.24,55.0,209.7,2.26,35.9,1.789,0
2025-09-28,TR013,OP032,Crusher,29.49,19.84,88.4,48.9,1.22,24.2,1.486,0
2025-02-24,TR016,OP047,Stockpile,12.4,13.6,50.5,147.8,0.4,30.6,0.912,0
2025-08-18,TR016,OP004,East Pit,115.82,45.79,10.1,163.8,3.11,37.2,2.529,0
2025-06-10,TR003,OP013,Crusher,29.19,11.88,13.3,170.2,1.4,20.8,2.457,0
2025-12-05,TR014,OP007,South Pit,109.99,53.96,41.1,49.8,3.16,34.8,2.038,0
2025-09-27,TR013,OP035,North Pit,27.02,20.07,79.5,178.6,1.19,22.7,1.346,0
2025-03-26,TR006,OP016,South Pit,86.15,37.72,55.6,66.7,3.79,22.7,2.284,0
2025-11-01,TR030,OP031,West Pit,101.06,53.24,43.3,119.0,4.1,24.6,1.898,0
2025-10-19,TR015,OP030,South Pit,62.3,34.89,14.6,125.6,2.29,27.2,1.786,0
2025-03-19,TR025,OP035,West Pit,79.08,42.51,10.0,94.2,2.33,34.0,1.86,0
2025-07-09,TR016,OP027,Stockpile,104.64,53.7,56.2,202.0,5.03,20.8,1.949,0
2025-10-17,TR030,OP026,North Pit,105.71,54.16,50.4,125.6,3.69,28.7,1.952,0
2025-03-26,TR027,OP047,East Pit,104.48,39.5,48.2,85.8,3.23,32.3,2.645,0
2025-03-31,TR006,OP009,West Pit,52.22,27.16,76.5,117.4,2.03,25.8,1.923,0
2025-03-02,TR003,OP036,Stockpile,106.31,52.6,75.8,68.0,3.29,32.3,2.021,0
2025-01-03,TR013,OP017,West Pit,40.12,29.16,78.4,172.0,1.41,28.4,1.376,0
2025-07-01,TR028,OP014,Stockpile,22.67,21.65,80.4,49.9,1.07,21.1,1.047,0
2025-01-06,TR002,OP039,West Pit,58.42,21.64,10.9,79.5,1.69,34.5,2.7,0
2025-08-01,TR001,OP034,West Pit,108.59,60.08,67.7,143.6,4.02,27.0,1.807,0
2025-06-01,TR017,OP033,Crusher,74.1,40.39,70.6,208.3,2.91,25.5,1.835,0
2025-03-09,TR002,OP030,West Pit,13.13,7.1,6.0,85.5,0.5,26.3,1.849,0
2025-05-13,TR010,OP004,Stockpile,63.27,29.79,19.1,50.3,1.71,36.9,2.124,0
2025-01-06,TR012,OP022,East Pit,20.99,13.68,50.9,203.7,0.82,25.5,1.534,0
2025-02-22,TR011,OP013,East Pit,85.33,37.15,10.9,216.4,2.65,32.2,2.297,0
2025-06-21,TR027,OP019,North Pit,74.65,35.5,51.7,107.0,3.54,21.1,2.103,0
2025-01-29,TR025,OP009,North Pit,47.13,19.63,6.7,217.0,1.84,25.6,2.401,0
2025-09-23,TR009,OP029,North Pit,70.28,25.23,30.3,180.6,2.14,32.8,2.786,0
2025-04-04,TR027,OP016,West Pit,25.59,18.49,64.1,151.8,0.76,33.9,1.384,0
2025-12-02,TR019,OP013,Crusher,117.47,71.87,9.4,75.4,3.18,37.0,1.634,1
2025-03-03,TR001,OP038,West Pit,65.97,25.93,37.3,87.7,1.95,33.8,2.544,0
2025-08-17,TR027,OP044,Stockpile,64.3,35.05,64.5,69.7,3.08,20.9,1.835,0
2025-07-08,TR007,OP003,West Pit,38.71,18.77,13.5,185.9,1.15,33.8,2.062,0
2025-12-01,TR002,OP001,South Pit,65.56,29.47,52.6,153.7,1.82,36.1,2.225,0
2025-08-14,TR030,OP008,North Pit,108.96,53.77,88.0,111.2,3.71,29.4,2.026,0
2025-11-12,TR002,OP019,Stockpile,50.17,17.89,45.5,171.8,2.69,18.6,2.804,0
2025-06-19,TR024,OP038,North Pit,58.01,24.25,65.6,135.2,1.64,35.4,2.392,0
2025-03-21,TR018,OP027,Crusher,44.18,14.07,7.8,57.9,2.4,18.4,3.14,0
2025-03-11,TR029,OP013,East Pit,36.27,18.5,41.6,113.9,1.13,32.2,1.961,0
2025-11-13,TR009,OP044,Crusher,100.23,53.78,44.5,191.7,3.37,29.7,1.864,0
2025-03-16,TR006,OP029,South Pit,106.13,36.44,57.1,43.6,4.61,23.0,2.912,0
2025-09-24,TR001,OP014,North Pit,81.92,48.41,76.8,95.6,3.2,25.6,1.692,0
2025-07-12,TR002,OP025,West Pit,97.49,34.11,34.5,73.7,3.32,29.4,2.858,0
2025-04-12,TR017,OP045,East Pit,81.28,43.13,80.3,233.7,2.9,28.0,1.885,0
2025-05-30,TR029,OP030,East Pit,92.95,34.66,50.4,77.6,4.39,21.2,2.682,0
2025-10-18,TR025,OP035,Crusher,24.86,18.39,84.1,72.0,0.69,36.1,1.352,0
2025-06-15,TR003,OP044,Crusher,45.92,20.79,11.9,139.1,1.28,35.8,2.209,0
2025-11-12,TR006,OP036,East Pit,79.45,33.96,61.2,74.7,2.96,26.9,2.34,0
2025-12-12,TR028,OP020,East Pit,85.87,45.71,69.7,68.9,4.54,18.9,1.879,0
2025-04-20,TR023,OP024,North Pit,109.29,54.35,68.7,173.2,4.73,23.1,2.011,0
2025-07-11,TR001,OP042,East Pit,56.03,20.92,38.9,218.8,1.66,33.6,2.678,0
2025-07-12,TR001,OP032,Stockpile,102.95,58.38,34.3,239.4,3.23,31.9,1.763,0
2025-07-18,TR026,OP027,Stockpile,43.14,26.34,47.5,60.8,1.3,33.2,1.638,0
2025-01-27,TR012,OP026,West Pit,34.87,15.17,16.5,136.7,0.95,36.7,2.299,0
2025-05-15,TR004,OP042,South Pit,103.95,52.43,52.5,79.6,3.37,30.9,1.983,0
2025-08-01,TR018,OP046,South Pit,65.1,30.43,24.8,102.8,1.93,33.7,2.139,0
2025-12-02,TR010,OP029,West Pit,38.03,17.35,58.2,109.9,1.03,37.1,2.192,0
2025-03-28,TR018,OP004,South Pit,24.51,12.27,17.0,71.1,0.92,26.6,1.998,0
2025-08-24,TR014,OP004,West Pit,54.25,27.59,44.7,219.9,1.73,31.4,1.966,0
2025-10-07,TR005,OP039,West Pit,35.95,24.05,51.8,128.6,1.13,31.9,1.495,0
2025-12-04,TR020,OP006,South Pit,8.83,5.55,53.0,59.8,0.24,36.3,1.591,0
2025-03-05,TR001,OP004,East Pit,84.99,27.49,15.0,206.7,3.43,24.8,3.092,0
2025-09-04,TR017,OP019,East Pit,45.2,26.57,81.3,199.1,1.68,26.9,1.701,0
2025-04-25,TR011,OP049,South Pit,22.18,13.44,44.4,156.8,0.74,29.9,1.65,0
2025-06-10,TR016,OP048,Crusher,8.85,8.68,53.9,152.7,0.26,34.4,1.02,0
2025-01-06,TR001,OP018,West Pit,57.22,19.88,21.3,120.1,1.93,29.7,2.878,0
2025-09-21,TR026,OP020,Stockpile,42.4,21.5,46.1,232.0,1.31,32.3,1.972,0
2025-01-12,TR011,OP038,North Pit,44.75,16.33,19.7,216.4,1.62,27.7,2.74,0
2025-05-17,TR015,OP032,West Pit,54.61,20.35,31.6,217.3,1.97,27.8,2.684,0
2025-07-01,TR024,OP044,Crusher,70.91,24.52,13.3,154.9,2.38,29.8,2.892,0
2025-09-02,TR009,OP004,East Pit,52.87,27.93,23.1,235.5,1.82,29.0,1.893,0
2025-06-20,TR027,OP004,North Pit,54.85,24.01,42.1,192.2,1.5,36.6,2.284,0
2025-11-03,TR012,OP042,East Pit,60.54,28.4,57.7,187.7,3.21,18.8,2.132,0
2025-02-16,TR020,OP023,Crusher,88.48,47.09,71.2,123.6,4.19,21.1,1.879,0
2025-04-06,TR022,OP010,South Pit,78.65,32.54,39.4,158.3,4.09,19.2,2.417,0
2025-04-05,TR010,OP027,North Pit,56.53,27.86,55.1,204.9,2.19,25.8,2.029,0
2025-05-19,TR011,OP001,North Pit,14.43,10.2,30.7,48.2,0.61,23.7,1.415,0
2025-01-02,TR027,OP020,North Pit,79.69,36.87,72.6,65.9,3.97,20.1,2.161,0
2025-06-06,TR015,OP044,South Pit,119.71,71.67,68.4,212.9,3.87,31.0,1.67,0
2025-05-20,TR009,OP047,Crusher,80.71,52.2,72.1,62.4,2.88,28.0,1.546,0
2025-08-02,TR023,OP027,West Pit,66.91,24.77,8.6,63.6,1.88,35.7,2.701,0
2025-07-30,TR023,OP017,South Pit,63.67,25.49,64.3,129.2,1.99,32.1,2.498,0
2025-04-13,TR029,OP046,Stockpile,42.6,26.53,88.3,68.4,1.2,35.5,1.606,0
2025-06-05,TR003,OP017,Stockpile,100.81,55.43,58.0,221.2,2.81,35.9,1.819,0
2025-07-03,TR010,OP002,North Pit,64.02,38.41,55.2,160.6,3.08,20.8,1.667,0
2025-11-01,TR023,OP027,East Pit,113.22,48.27,46.4,161.5,5.17,21.9,2.346,0
2025-01-29,TR003,OP037,Stockpile,73.04,26.0,8.8,61.6,3.69,19.8,2.809,0
2025-08-14,TR005,OP042,East Pit,47.27,24.34,34.2,202.4,1.71,27.7,1.942,0
2025-01-30,TR015,OP044,Crusher,93.41,54.99,54.1,43.6,3.82,24.5,1.699,0
2025-04-08,TR028,OP020,South Pit,87.54,52.27,77.3,110.5,3.33,26.3,1.675,0
2025-06-12,TR005,OP011,South Pit,49.38,32.26,88.8,87.3,2.57,19.2,1.531,0
2025-10-24,TR024,OP002,West Pit,36.72,12.25,6.2,218.7,0.98,37.3,2.998,0
2025-05-03,TR030,OP003,North Pit,86.58,33.27,21.3,190.2,2.5,34.6,2.602,0
2025-07-02,TR004,OP027,East Pit,100.32,52.33,10.9,216.3,3.52,28.5,1.917,0
2025-07-31,TR019,OP015,North Pit,87.58,42.86,15.9,230.1,3.7,23.7,2.043,0
2025-10-04,TR004,OP049,West Pit,115.35,48.55,39.5,57.6,4.12,28.0,2.376,0
2025-05-25,TR025,OP040,East Pit,49.8,19.79,50.8,209.9,2.38,20.9,2.516,0
2025-07-26,TR023,OP021,Crusher,89.53,38.02,72.3,83.8,2.37,37.8,2.355,0
2025-11-03,TR024,OP044,East Pit,85.46,35.02,46.6,128.6,4.62,18.5,2.44,0
2025-06-09,TR023,OP050,South Pit,10.68,6.24,18.5,57.8,0.3,35.7,1.712,0
2025-12-09,TR029,OP034,South Pit,92.34,44.66,45.4,103.4,3.26,28.4,2.068,0
2025-05-25,TR001,OP001,West Pit,17.04,13.3,44.4,53.3,0.58,29.6,1.281,0
2025-06-08,TR022,OP047,Crusher,19.51,16.79,57.1,95.9,0.85,22.8,1.162,0
2025-01-09,TR012,OP050,West Pit,44.94,13.95,6.0,44.3,2.17,20.7,3.222,0
2025-07-14,TR014,OP011,North Pit,86.69,48.93,38.2,199.7,3.12,27.8,1.772,0
2025-06-21,TR011,OP040,East Pit,63.54,20.41,31.0,106.3,2.25,28.3,3.113,0
2025-06-01,TR006,OP022,North Pit,69.54,40.76,73.6,136.5,2.69,25.8,1.706,0
2025-08-16,TR002,OP039,East Pit,72.51,40.09,10.4,79.6,2.29,31.6,1.809,0
2025-07-19,TR026,OP003,South Pit,59.85,27.43,67.1,155.5,2.96,20.2,2.182,0
2025-12-12,TR015,OP030,South Pit,66.75,37.13,13.7,199.7,1.97,33.9,1.798,0
2025-05-29,TR005,OP019,East Pit,73.07,28.25,11.5,213.3,3.28,22.3,2.587,0
2025-06-08,TR017,OP021,Stockpile,56.38,34.7,49.3,184.8,2.4,23.5,1.625,0
2025-10-24,TR008,OP035,West Pit,63.9,34.66,74.9,143.7,2.73,23.4,1.844,0
2025-06-27,TR027,OP019,North Pit,61.72,26.0,80.0,73.6,2.67,23.1,2.374,0
2025-04-02,TR027,OP007,South Pit,86.48,38.7,61.3,53.0,3.59,24.1,2.235,0
2025-07-09,TR022,OP024,East Pit,71.47,26.64,27.0,116.8,2.12,33.7,2.683,0
2025-07-04,TR023,OP019,Stockpile,10.92,20.04,45.5,227.9,0.56,19.6,0.545,1
2025-05-30,TR023,OP034,Stockpile,73.33,31.92,64.6,105.1,2.39,30.7,2.297,0
2025-07-13,TR029,OP049,Crusher,88.28,38.91,79.0,228.8,3.68,24.0,2.269,0
2025-07-31,TR010,OP024,South Pit,45.62,27.04,72.3,131.6,1.5,30.4,1.687,0
2025-12-21,TR006,OP030,Crusher,21.2,9.3,21.4,71.9,0.84,25.3,2.28,0
2025-01-26,TR016,OP015,Crusher,48.52,17.23,6.5,48.7,1.99,24.4,2.816,0
2025-11-30,TR028,OP018,East Pit,68.42,33.61,87.3,224.6,2.61,26.2,2.036,0
2025-06-28,TR030,OP046,North Pit,91.1,34.74,16.0,115.9,3.37,27.0,2.622,0
2025-05-19,TR017,OP042,West Pit,97.06,51.95,65.1,231.9,2.65,36.6,1.868,0
2025-08-11,TR016,OP013,Crusher,15.2,8.75,6.7,167.1,0.53,28.6,1.737,0
2025-02-12,TR010,OP021,East Pit,27.36,13.61,43.7,218.1,0.72,37.8,2.01,0
2025-09-29,TR030,OP029,East Pit,41.46,17.21,60.9,212.5,1.48,28.0,2.409,0
2025-02-04,TR008,OP041,Stockpile,24.31,16.29,38.1,90.9,0.84,29.1,1.492,0
2025-06-06,TR019,OP027,Stockpile,42.64,39.33,55.9,90.5,2.02,21.1,1.084,1
2025-03-15,TR009,OP015,East Pit,61.32,25.67,32.2,212.9,2.66,23.1,2.389,0
2025-04-21,TR029,OP033,Crusher,98.39,41.98,39.2,96.8,3.63,27.1,2.344,0
2025-06-21,TR021,OP038,Crusher,20.12,16.75,56.9,136.8,1.1,18.2,1.201,0
2025-01-03,TR021,OP021,South Pit,22.37,12.22,49.3,73.4,0.78,28.8,1.831,0
2025-11-21,TR017,OP028,North Pit,99.68,56.64,28.5,154.3,3.31,30.1,1.76,0
2025-10-04,TR026,OP049,South Pit,9.32,10.29,58.6,86.2,0.27,34.3,0.906,0
2025-12-16,TR025,OP028,West Pit,54.07,29.04,24.3,219.7,2.13,25.4,1.862,0
2025-01-29,TR026,OP015,Crusher,20.85,11.09,35.7,145.7,0.6,34.8,1.88,0
2025-03-06,TR014,OP033,West Pit,88.93,43.57,80.4,193.4,2.37,37.6,2.041,0
2025-06-28,TR001,OP011,Crusher,80.08,35.36,8.2,46.1,3.39,23.6,2.265,0
2025-11-09,TR024,OP044,Crusher,45.23,23.37,78.6,225.4,1.33,34.1,1.935,0
2025-04-22,TR028,OP036,South Pit,43.43,18.38,24.9,48.2,1.32,32.9,2.363,0
2025-04-20,TR026,OP005,East Pit,75.52,26.52,18.0,143.1,3.37,22.4,2.848,0
2025-11-03,TR007,OP017,West Pit,58.17,32.01,51.0,97.1,2.04,28.6,1.817,0
2025-01-01,TR006,OP008,Crusher,71.55,40.52,31.1,206.6,3.02,23.7,1.766,1
2025-12-13,TR014,OP041,North Pit,102.09,54.82,58.7,47.0,4.05,25.2,1.862,0
2025-03-11,TR029,OP012,North Pit,88.67,46.4,56.3,193.8,2.7,32.8,1.911,0
2025-04-27,TR003,OP044,East Pit,16.24,8.15,29.6,112.0,0.76,21.5,1.993,0
2025-04-29,TR017,OP032,West Pit,42.67,32.54,86.7,76.2,1.43,29.8,1.311,0
2025-11-24,TR018,OP049,South Pit,56.01,24.97,28.9,52.1,1.78,31.4,2.243,0
2025-10-27,TR009,OP016,Crusher,31.22,18.5,77.7,52.9,0.95,32.9,1.688,0
2025-05-04,TR006,OP001,Crusher,11.66,11.89,43.8,154.6,0.55,21.2,0.981,0
2025-05-05,TR023,OP020,West Pit,117.41,49.34,84.0,177.7,6.01,19.5,2.38,0
2025-10-24,TR003,OP043,Stockpile,107.13,42.99,75.7,80.2,3.06,35.0,2.492,0
2025-04-14,TR014,OP013,East Pit,15.43,7.15,25.9,103.5,0.42,37.0,2.158,0
2025-10-19,TR022,OP018,East Pit,23.76,14.59,66.5,72.9,0.72,33.1,1.629,0
2025-10-25,TR004,OP029,East Pit,98.57,49.31,68.2,169.0,3.22,30.6,1.999,0
2025-08-28,TR023,OP003,Stockpile,69.81,32.39,70.9,40.3,2.51,27.8,2.155,0
2025-09-29,TR010,OP009,South Pit,25.91,23.53,69.2,206.0,0.74,35.1,1.101,0
2025-03-25,TR017,OP049,West Pit,111.56,70.07,89.5,169.9,2.96,37.7,1.592,0
2025-07-25,TR025,OP018,East Pit,73.04,29.93,35.0,73.8,2.22,33.0,2.44,0
2025-02-20,TR003,OP022,East Pit,9.37,11.55,30.3,42.3,0.3,31.8,0.811,1
2025-01-22,TR013,OP027,South Pit,35.04,15.71,27.7,88.9,1.22,28.6,2.23,0
2025-06-04,TR010,OP044,Crusher,18.26,17.77,69.4,114.3,0.57,31.9,1.028,0
2025-04-18,TR026,OP045,Stockpile,34.41,19.67,74.7,134.2,1.44,23.9,1.749,0
2025-02-25,TR006,OP044,East Pit,70.26,26.47,41.7,131.6,2.86,24.6,2.654,0
2025-07-12,TR003,OP027,West Pit,113.24,40.56,85.2,134.5,5.94,19.1,2.792,0
2025-11-15,TR007,OP011,West Pit,57.62,29.47,89.3,154.7,1.56,36.8,1.955,0
2025-04-01,TR028,OP040,Crusher,55.14,26.33,45.2,61.7,1.56,35.3,2.094,0
2025-03-07,TR024,OP031,North Pit,100.21,43.06,24.3,142.2,4.67,21.5,2.327,0
2025-11-13,TR018,OP013,West Pit,8.43,11.56,66.9,42.4,0.36,23.5,0.729,0
2025-01-12,TR006,OP041,Crusher,50.44,17.87,13.1,78.3,1.37,36.9,2.823,0
2025-08-03,TR003,OP003,West Pit,104.92,52.22,31.9,113.3,4.32,24.3,2.009,0
2025-07-24,TR003,OP013,North Pit,52.03,21.86,86.1,131.8,1.49,34.9,2.38,0
2025-06-20,TR029,OP013,Stockpile,76.57,32.58,61.9,212.2,2.13,35.9,2.35,0
2025-06-06,TR026,OP008,East Pit,93.28,51.92,31.3,193.1,3.09,30.1,1.797,0
2025-01-10,TR026,OP004,East Pit,50.27,27.18,49.5,52.8,1.48,34.0,1.85,0
2025-11-10,TR027,OP011,South Pit,98.18,36.36,18.4,80.2,3.18,30.9,2.7,0
2025-01-25,TR018,OP031,East Pit,102.59,38.37,86.1,111.0,3.14,32.6,2.674,0
2025-02-28,TR030,OP018,East Pit,30.24,21.08,39.3,84.0,0.82,37.0,1.435,0
2025-11-18,TR018,OP010,Stockpile,8.46,9.2,51.2,168.9,0.24,34.6,0.92,0
2025-05-12,TR023,OP019,Crusher,19.44,9.61,65.7,120.2,0.99,19.6,2.023,0
2025-06-17,TR018,OP023,West Pit,76.52,24.06,8.0,138.1,2.07,37.0,3.18,0
2025-08-22,TR027,OP038,West Pit,55.08,26.38,75.4,211.4,1.94,28.4,2.088,0
2025-07-25,TR014,OP022,North Pit,69.13,35.16,55.0,155.4,2.2,31.4,1.966,0
2025-12-06,TR010,OP041,East Pit,68.39,46.92,86.3,163.0,2.53,27.1,1.458,0
2025-12-09,TR022,OP026,South Pit,68.24,29.0,82.4,122.9,3.25,21.0,2.353,0
2025-04-06,TR010,OP008,South Pit,22.71,16.54,77.0,151.9,0.96,23.6,1.373,0
2025-10-06,TR016,OP003,East Pit,43.03,18.21,23.8,134.1,1.27,33.9,2.363,0
2025-09-09,TR012,OP023,Stockpile,44.08,21.0,12.4,107.9,2.16,20.4,2.099,0
2025-04-01,TR010,OP044,Stockpile,57.39,20.72,42.4,151.3,1.52,37.8,2.77,0
2025-02-24,TR001,OP026,South Pit,12.46,11.36,67.0,217.3,0.64,19.4,1.097,0
2025-10-25,TR029,OP039,Stockpile,63.69,32.94,47.9,228.1,2.08,30.6,1.934,0
2025-09-28,TR030,OP043,South Pit,79.84,36.29,61.0,92.3,2.18,36.6,2.2,0
2025-05-17,TR027,OP046,West Pit,102.16,58.84,21.6,164.5,3.42,29.9,1.736,0
2025-04-18,TR008,OP033,Crusher,84.07,38.08,69.2,238.8,4.07,20.6,2.208,0
2025-09-09,TR028,OP005,East Pit,54.85,27.86,54.3,187.4,1.65,33.2,1.969,0
2025-03-30,TR011,OP028,East Pit,54.77,20.92,35.5,47.8,1.85,29.7,2.618,0
2025-06-19,TR014,OP011,West Pit,77.62,36.37,43.1,226.3,3.02,25.7,2.134,0
2025-03-25,TR003,OP008,South Pit,77.92,32.22,41.0,220.6,2.76,28.3,2.418,0
2025-08-14,TR001,OP035,West Pit,31.22,13.29,13.4,73.4,1.04,30.0,2.349,0
2025-05-16,TR023,OP037,Stockpile,115.15,37.98,23.1,116.9,4.33,26.6,3.032,0
2025-09-01,TR022,OP017,South Pit,41.31,19.0,78.9,182.0,1.49,27.8,2.174,0
2025-04-30,TR016,OP045,Stockpile,77.51,76.14,84.4,133.3,2.23,34.8,1.018,1
2025-08-17,TR028,OP020,Stockpile,116.33,52.87,88.2,87.8,3.39,34.3,2.2,0
2025-08-12,TR022,OP036,Crusher,90.87,44.25,64.3,237.5,2.56,35.5,2.054,0
2025-06-14,TR010,OP006,Stockpile,76.65,43.82,82.6,210.5,2.37,32.3,1.749,0
2025-07-18,TR010,OP018,East Pit,14.78,5.91,27.6,224.7,0.48,30.8,2.501,0
2025-03-07,TR024,OP041,South Pit,115.47,56.51,24.1,155.7,5.08,22.7,2.043,0
2025-10-01,TR007,OP001,North Pit,65.73,31.5,47.1,233.0,3.41,19.3,2.087,0
2025-09-20,TR007,OP036,South Pit,101.19,61.06,84.8,187.0,4.63,21.9,1.657,0
2025-04-18,TR013,OP018,East Pit,82.42,52.73,77.4,96.7,2.64,31.2,1.563,0
2025-06-03,TR003,OP039,North Pit,112.49,40.69,84.8,201.8,3.99,28.2,2.765,0
2025-12-17,TR012,OP045,West Pit,76.9,41.9,86.7,54.5,2.95,26.0,1.835,0
2025-02-16,TR004,OP020,West Pit,63.08,19.82,15.2,121.7,1.7,37.0,3.183,0
2025-07-18,TR012,OP044,East Pit,85.01,38.22,82.8,175.5,2.28,37.3,2.224,0
2025-07-14,TR026,OP018,South Pit,12.07,5.31,6.7,196.6,0.52,23.2,2.273,0
2025-09-05,TR013,OP031,Crusher,10.19,6.38,38.6,174.9,0.44,23.0,1.597,0
2025-06-12,TR022,OP040,South Pit,39.39,13.23,13.0,203.0,1.27,31.1,2.977,0
2025-09-09,TR027,OP036,South Pit,71.08,28.17,38.7,209.0,1.94,36.7,2.523,0
2025-02-10,TR012,OP040,South Pit,42.57,27.48,69.8,86.0,1.12,38.0,1.549,0
2025-02-25,TR024,OP015,South Pit,74.48,43.92,75.8,100.0,2.36,31.6,1.696,0
2025-07-14,TR026,OP016,East Pit,52.22,24.37,48.0,147.4,2.74,19.1,2.143,0
2025-02-22,TR009,OP010,Stockpile,87.56,38.73,57.7,70.4,3.13,28.0,2.261,0
2025-01-09,TR030,OP005,West Pit,115.78,47.65,19.9,137.3,4.1,28.2,2.43,0
2025-06-18,TR010,OP012,Crusher,105.05,103.25,14.3,234.3,3.07,34.2,1.017,1
2025-09-13,TR030,OP034,West Pit,118.76,41.05,38.7,101.4,4.71,25.2,2.893,0
2025-07-10,TR015,OP041,North Pit,104.34,42.03,69.1,73.2,4.76,21.9,2.483,0
2025-11-16,TR016,OP040,North Pit,71.6,23.33,20.2,194.3,2.7,26.5,3.069,0
2025-04-10,TR018,OP011,Crusher,21.47,11.82,31.0,202.5,0.62,34.7,1.816,0
2025-06-13,TR006,OP011,West Pit,82.98,39.54,27.0,110.0,4.33,19.2,2.099,0
2025-03-07,TR026,OP041,South Pit,111.03,65.56,28.2,174.4,2.97,37.4,1.694,0
2025-04-04,TR001,OP016,North Pit,79.01,27.59,63.4,163.0,3.68,21.4,2.864,0
2025-07-03,TR011,OP006,East Pit,64.48,29.19,14.3,213.7,2.37,27.2,2.209,0
2025-08-09,TR021,OP042,North Pit,19.64,10.85,42.5,139.3,0.56,35.1,1.81,0
2025-08-29,TR013,OP030,Crusher,79.62,79.79,42.3,196.3,2.64,30.2,0.998,1
2025-04-06,TR005,OP016,Stockpile,42.45,29.43,67.1,117.8,1.77,24.0,1.442,0
2025-03-25,TR029,OP005,South Pit,111.82,35.81,27.6,135.6,4.65,24.0,3.123,0
2025-05-30,TR021,OP041,South Pit,88.88,31.93,63.9,70.1,2.6,34.2,2.784,0
2025-03-21,TR002,OP024,East Pit,36.99,20.36,10.2,209.7,1.66,22.3,1.817,0
2025-03-24,TR018,OP022,Crusher,93.44,53.86,75.4,229.7,2.48,37.7,1.735,0
2025-12-15,TR025,OP023,Stockpile,83.74,48.84,52.4,47.6,2.23,37.6,1.715,0
2025-05-03,TR023,OP017,Stockpile,15.51,5.56,10.5,225.1,0.65,24.0,2.79,0
2025-09-22,TR013,OP024,South Pit,16.26,6.69,26.3,185.6,0.63,25.8,2.43,0
2025-04-27,TR007,OP050,Stockpile,32.42,17.37,41.4,193.6,0.96,33.7,1.866,0
2025-01-13,TR005,OP015,Crusher,27.84,17.75,73.0,98.9,1.3,21.5,1.568,0
2025-01-19,TR009,OP018,East Pit,118.09,46.26,55.3,115.0,5.07,23.3,2.553,0
